Rank,Model,CV ROC-AUC Mean,CV ROC-AUC Std,Accuracy,Precision,Recall,F1,ROC-AUC,Train Time (s)
1,Logistic Regression,0.8075,0.0049,0.7232,0.5009,0.7604,0.6039,0.81,4.71
2,Neural Network,0.7981,0.0036,0.77,0.6193,0.4441,0.5173,0.8013,12.13
3,Random Forest,0.796,0.0044,0.7475,0.5374,0.6477,0.5874,0.7957,29.69
4,XGBoost,0.7898,0.0069,0.716,0.4918,0.7054,0.5796,0.7917,12.43
