mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_max_iter,param_class_weight,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2511312484741211,0.07355078078369535,0.009345293045043945,0.001799887478347447,lbfgs,1000,balanced,0.1,"{'solver': 'lbfgs', 'max_iter': 1000, 'class_weight': 'balanced', 'C': 0.1}",0.8017080069466682,0.8021305975587227,0.8116719660837308,0.8135681637519873,0.8084611428037033,0.8075079754289625,0.0048482791974626465,1,0.812065779584991,0.8119083954032614,0.8094577540921203,0.8091744499429006,0.810213749524172,0.810564025709489,0.001211614269031597
0.5142460346221924,0.07979291389417725,0.008040285110473633,0.0012856023822115134,liblinear,1000,balanced,0.05,"{'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced', 'C': 0.05}",0.8015929765147826,0.8021773895988118,0.8116558924841796,0.8135321199226908,0.808435814707441,0.8074788386455811,0.004852927594588436,2,0.8120288769678008,0.8118987739288124,0.8094421621621621,0.8091550209364293,0.8101743738104302,0.8105398415611271,0.0012099684726942649
0.38317112922668456,0.026803102126848,0.008431100845336914,0.0013632312068326327,liblinear,3000,balanced,0.05,"{'solver': 'liblinear', 'max_iter': 3000, 'class_weight': 'balanced', 'C': 0.05}",0.8015929765147826,0.8021773895988118,0.8116558924841796,0.8135321199226908,0.808435814707441,0.8074788386455811,0.004852927594588436,2,0.8120288769678008,0.8118987739288124,0.8094421621621621,0.8091550209364293,0.8101743738104302,0.8105398415611271,0.0012099684726942649
0.47797646522521975,0.024639496709559807,0.008461189270019532,0.0016007214341149283,liblinear,2000,,0.1,"{'solver': 'liblinear', 'max_iter': 2000, 'class_weight': None, 'C': 0.1}",0.8015071911079527,0.8020399379810502,0.811702164967736,0.8134045052838306,0.808675944543159,0.8074659487767457,0.004891307736583133,4,0.8120458363389023,0.8118906443918572,0.8094490140845071,0.8091689379520366,0.8101759878188047,0.8105460841172215,0.0012078215551669966
0.2022615909576416,0.014937582052185096,0.008081912994384766,0.0017623414460181403,lbfgs,3000,balanced,0.25,"{'solver': 'lbfgs', 'max_iter': 3000, 'class_weight': 'balanced', 'C': 0.25}",0.8017080069466683,0.8020014320313936,0.8116914492347018,0.8135832631939899,0.8083393731101345,0.8074647049033775,0.004879632967928013,5,0.812069037489314,0.8119171338942958,0.8094584849638371,0.8091932089836316,0.8102041872858774,0.8105684105233912,0.0012105129996437636
0.19763617515563964,0.012353219241839434,0.00768437385559082,0.0009634165332243013,lbfgs,2000,balanced,0.25,"{'solver': 'lbfgs', 'max_iter': 2000, 'class_weight': 'balanced', 'C': 0.25}",0.8017080069466683,0.8020014320313936,0.8116914492347018,0.8135832631939899,0.8083393731101345,0.8074647049033775,0.004879632967928013,5,0.812069037489314,0.8119171338942958,0.8094584849638371,0.8091932089836316,0.8102041872858774,0.8105684105233912,0.0012105129996437636
0.4027066230773926,0.04206156181848115,0.008415842056274414,0.0014792124770214303,liblinear,1000,balanced,0.1,"{'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced', 'C': 0.1}",0.8016587778211579,0.8020696704231902,0.8116427413572742,0.8135257878986254,0.808402206272016,0.8074598367544528,0.004855650159013987,7,0.8120594464625689,0.8119180473254143,0.8094671031594975,0.8091855348306053,0.8102047658926531,0.8105669795341479,0.0012084831765128263
0.3160845756530762,0.016416632198451235,0.008775615692138672,0.0015830127034538847,lbfgs,2000,,0.05,"{'solver': 'lbfgs', 'max_iter': 2000, 'class_weight': None, 'C': 0.05}",0.8014175063644486,0.8021418081516608,0.8116807335016678,0.8134064535989277,0.8086476939742512,0.8074588391181912,0.004886315704208257,8,0.8120002256783816,0.8118460689532709,0.8094105519604112,0.8091332470498668,0.8101446212409593,0.8105069429765781,0.0012036230646224424
0.4840665340423584,0.03413206503898046,0.009495210647583009,0.002367504814225515,liblinear,1000,,0.25,"{'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None, 'C': 0.25}",0.8016280705448495,0.8019858346846971,0.8116651469808909,0.8133859962904081,0.8086243141930859,0.8074578725387864,0.004860744493258381,9,0.8120698595773207,0.8118930497604694,0.809461560715645,0.8091878188047202,0.8101857023220403,0.8105595982360392,0.0012071657422129576
0.20037531852722168,0.011344886935407866,0.007217836380004883,0.0010165699796817636,lbfgs,3000,balanced,5.0,"{'solver': 'lbfgs', 'max_iter': 3000, 'class_weight': 'balanced', 'C': 5.0}",0.8017372519717239,0.8019551274083888,0.811714829015867,0.8135637800430188,0.8083106354624521,0.8074563247802902,0.0048813252537934825,10,0.8120771670262693,0.8119094915206037,0.8094586676817663,0.8092057251617816,0.8102057403882758,0.8105713583557395,0.0012078717790950345
